종목명,최종점수,가치점수,우량점수,모멘텀점수(샤프+이익),샤프지수,거래대금(억)
하나금융지주,0.6492,0.9877,0.3638,0.5981,1.41,1212
나노,0.6488,0.1676,0.8277,0.953,2.8,43
서진시스템,0.6481,0.7698,0.6357,0.5409,2.26,1845
한농화성,0.6469,0.733,0.6428,0.5668,0.8,26
JW신약,0.6466,0.5926,0.8462,0.5027,0.36,38
에이치엠넥스,0.6465,0.5913,0.6949,0.6553,2.47,122
SJG세종,0.6463,0.609,0.7079,0.624,1.18,19
에스에프에이,0.6459,0.9183,0.6945,0.327,0.99,46
미코,0.6455,0.6921,0.6532,0.5933,0.99,164
큐리옥스바이오시스템즈,0.6454,0.9782,0.4634,0.4966,1.49,113
KG스틸,0.645,0.6035,0.7102,0.6233,0.81,39
더존비즈온,0.6449,0.8311,0.6233,0.4823,1.66,36
롯데쇼핑,0.6445,0.7834,0.5867,0.5654,2.25,356
TCC스틸,0.6436,0.8856,0.5955,0.4516,0.39,18
에이피알,0.6434,0.2916,0.7448,0.8958,2.39,1171
HD건설기계,0.6434,0.8488,0.584,0.4993,1.57,596
클로봇,0.643,0.827,0.4202,0.6839,1.64,160
HD현대일렉트릭,0.642,0.327,0.7829,0.8181,2.07,2337
한솔테크닉스,0.642,0.4891,0.723,0.7159,1.63,170
삼성중공업,0.6415,0.5245,0.6355,0.7663,1.28,1598
LS마린솔루션,0.641,0.6049,0.6927,0.6274,0.92,90
LX인터내셔널,0.6408,0.7738,0.6002,0.5504,1.18,92
셀트리온,0.6407,0.6717,0.6814,0.5708,0.65,1223
CJ,0.6406,0.8515,0.5988,0.4734,1.13,410
GST,0.6394,0.4823,0.7198,0.718,2.22,251
녹십자웰빙,0.639,0.6649,0.7498,0.5041,0.4,14
시지메드텍,0.6387,0.5327,0.6809,0.7044,1.23,16
광동제약,0.6379,0.9959,0.6819,0.2377,0.8,13
그린리소스,0.6379,0.3706,0.7459,0.799,1.56,76
기아,0.6376,0.6294,0.7423,0.5429,1.46,2548
OCI홀딩스,0.637,0.9046,0.4954,0.5129,2.11,1276
코리아에프티,0.6365,0.6839,0.705,0.5225,0.93,14
효성중공업,0.636,0.3692,0.5858,0.955,3.13,2124
브이엠,0.6357,0.2984,0.6917,0.9189,2.55,580
국일제지,0.6337,0.7725,0.6747,0.4557,0.35,13
LG화학,0.6329,0.8011,0.5844,0.515,1.44,1434
아모텍,0.6325,0.4646,0.6972,0.7377,1.37,371
삼양엔씨켐,0.6324,0.4305,0.7296,0.7391,1.4,83
한스바이오메드,0.6322,0.4019,0.7146,0.782,1.52,80
이지바이오,0.6315,0.8256,0.5652,0.5054,0.96,11
전진건설로봇,0.6309,0.7943,0.7611,0.3392,0.6,42
펩트론,0.6307,0.9455,0.4974,0.451,0.83,536
현대자동차,0.6305,0.564,0.5822,0.7473,2.58,11903
엠플러스,0.6305,0.7793,0.5275,0.5865,1.53,27
유일로보틱스,0.6299,0.7466,0.5926,0.5525,0.8,91
한국정보통신,0.6288,0.7629,0.7172,0.408,0.65,18
한라IMS,0.6287,0.4796,0.7253,0.6832,1.55,23
LIG아큐버,0.6286,0.7384,0.5505,0.5988,1.67,63
지역난방공사,0.6282,0.8638,0.6256,0.3971,0.27,12
나노엔텍,0.6277,0.8624,0.6793,0.3433,0.92,21
재영솔루텍,0.6272,0.8678,0.5839,0.4319,1.65,41
에프앤가이드,0.6264,0.3474,0.7171,0.8168,2.34,27
한국토지신탁,0.6263,0.8351,0.4107,0.6349,0.86,12
GS글로벌,0.6243,0.8937,0.5881,0.3931,1.01,52
오리온,0.6237,0.6458,0.7197,0.5075,1.1,171
한미반도체,0.6236,0.3529,0.8462,0.6737,2.38,4844
풍산홀딩스,0.6234,0.8597,0.6956,0.3168,0.3,20
HL만도,0.6231,0.8474,0.5777,0.4462,1.54,759
제룡산업,0.6224,0.5136,0.7288,0.6267,1.01,39
타이거일렉,0.6214,0.3515,0.6957,0.8188,2.64,59
아모센스,0.6207,0.6226,0.4933,0.748,1.39,26
TYM,0.6204,0.6907,0.7131,0.4591,1.27,29
티엘비,0.62,0.2602,0.6651,0.9366,2.48,250
에스엠벡셀,0.6194,0.8406,0.6904,0.329,0.65,23
