종목명,ROE,최종점수
칩스앤미디어,7.01,4.20
이글루,2.56,1.54
아이디스,6.66,3.99
인터로조,8.24,4.94
진바이오텍,6.89,4.13
아이디스홀딩스,8.76,5.25
유한양행,7.84,4.71
신화콘텍,4.10,2.46
성문전자,4.58,2.75
엘티씨,8.13,4.88
코텍,7.30,4.38
한미글로벌,7.97,4.78
크린앤사이언스,-19.98,-11.99
우신시스템,9.01,5.41
아난티,-5.24,-3.14
에스티오,-21.41,-12.85
JB금융지주,11.82,7.09
디아이,7.27,4.36
에이치케이,7.24,4.35
코이즈,-921.80,-553.08
세보엠이씨,13.11,7.87
GS,5.41,3.25
교보증권,6.74,4.05
현대바이오랜드,0.19,0.11
파인디지털,-1.28,-0.77
유니트론텍,8.16,4.89
태양,6.10,3.66
대주전자재료,8.10,4.86
대원미디어,4.03,2.42
한세예스24홀딩스,-2.46,-1.48
바이오톡스텍,-4.93,-2.96
하이스틸,-3.18,-1.91
드림씨아이에스,8.75,5.25
덴티스,-35.97,-21.58
이오테크닉스,8.37,5.02
제주항공,-42.30,-25.38
세진티에스,1.50,0.90
LG,3.30,1.98
한국금융지주,16.73,10.04
우리기술투자,14.24,8.54
석경에이티,8.62,5.17
한일단조,1.30,0.78
파루,-17.29,-10.37
삼보모터스,4.83,2.90
비나텍,-8.94,-5.37
코웨이,17.09,10.25
하나투어,28.78,17.27
엑사이엔씨,1.38,0.83
한글과컴퓨터,4.95,2.97
기산텔레콤,8.72,5.23
미래에셋글로벌리츠,-4.08,-2.45
디알텍,-31.30,-18.78
우리산업홀딩스,8.97,5.38
바이오스마트,4.79,2.87
상상인,-26.35,-15.81
SIMPAC,3.33,2.00
일진파워,12.93,7.76
레드캡투어,11.77,7.06
현대엘리베이터,18.64,11.19
텔레칩스,-43.11,-25.86
디지틀조선,5.87,3.52
헥토이노베이션,10.23,6.14
YG PLUS,12.19,7.32
티에프이,16.58,9.95
신도기연,3.05,1.83
하림지주,8.18,4.91
코미코,20.89,12.53
에넥스,-3.40,-2.04
에이스침대,7.48,4.49
현우산업,6.63,3.98
금호에이치티,-8.29,-4.97
핑거,0.70,0.42
유라테크,7.18,4.31
세방,5.43,3.26
셀바스AI,-1.67,-1.00
에이루트,-17.64,-10.58
한국수출포장공업,-1.38,-0.83
루닛,-34.48,-20.69
아진산업,6.68,4.01
한일철강,-0.26,-0.16
사조대림,-9.25,-5.55
나노,12.17,7.30
TJ미디어,4.76,2.86
셀바스헬스케어,5.47,3.28
영우디에스피,18.43,11.06
카스,-2.43,-1.46
휴비츠,-4.42,-2.65
에스폴리텍,-15.59,-9.35
SG글로벌,1.85,1.11
KPX홀딩스,7.11,4.27
켄코아에어로스페이스,-9.65,-5.79
화승엔터프라이즈,-5.75,-3.45
다스코,-5.02,-3.01
크래프톤,10.21,6.13
인크로스,9.22,5.53
BYC,3.48,2.09
제이아이테크,8.56,5.13
잉글우드랩,15.21,9.13
지엠비코리아,4.51,2.71
네오팜,14.24,8.55
필에너지,-12.51,-7.51
DS단석,-4.47,-2.68
신한은행,9.82,5.89
S-Oil,1.99,1.19
한국무브넥스,4.68,2.81
팸텍,-8.79,-5.27
이수화학,-18.28,-10.97
흥국,10.32,6.19
도이치모터스,0.45,0.27
DN오토모티브,13.27,7.96
삼진엘앤디,-27.88,-16.73
윙입푸드,4.67,2.80
씨티케이,-5.01,-3.00
다우기술,15.43,9.26
율촌,6.55,3.93
엠케이전자,1.37,0.82
KSS해운,6.72,4.03
인베니아,-81.20,-48.72
크레버스,9.60,5.76
산돌,6.08,3.65
SK디앤디,0.93,0.56
디케이앤디,10.67,6.40
누리플랜,2.96,1.77
엘엠에스,-16.65,-9.99
케이알엠,-19.96,-11.98
넥스틴,-1.76,-1.06
케이엔에스,-1.83,-1.10
NICE,5.45,3.27
아모레퍼시픽,4.49,2.70
지니너스,-190.88,-114.53
나라셀라,0.08,0.05
에스지신성건설,-11.14,-6.68
롯데에너지머티리얼즈,-9.32,-5.59
동화기업,-6.35,-3.81
STX엔진,20.10,12.06
신화인터텍,3.44,2.06
모베이스전자,8.28,4.97
라온시큐어,6.57,3.94
다날,-22.23,-13.34
DMS,32.84,19.70
한컴위드,6.28,3.77
금호건설,25.72,15.43
토비스,14.65,8.79
제이엔비,-1.12,-0.67
코세스,17.84,10.70
대성산업,-9.55,-5.73
체시스,13.89,8.33
유비쿼스,12.28,7.37
티사이언티픽,-0.95,-0.57
가온그룹,4.74,2.84
폴라리스오피스,2.68,1.61
한화손해보험,10.80,6.48
동국알앤에스,0.71,0.42
모두투어,15.65,9.39
삼영,17.04,10.23
톱텍,-5.31,-3.19
넥스트아이,-103.62,-62.17
씨엑스아이,2.53,1.52
도화엔지니어링,2.51,1.51
모헨즈,-9.12,-5.47
WISCOM,1.52,0.91
파트론,5.91,3.54
동성화인텍,21.59,12.95
모비데이즈,6.32,3.79
인팩,10.30,6.18
진양홀딩스,4.91,2.95
애니플러스,10.96,6.58
엠씨넥스,13.37,8.02
뉴인텍,-83.69,-50.21
케이프,20.76,12.45
디에이피,311.85,187.11
유성티엔에스,10.41,6.24
포스뱅크,4.82,2.89
프럼파스트,2.69,1.61
자연과환경,-7.94,-4.76
메카로,6.14,3.68
케이엔제이,26.30,15.78
경인양행,2.11,1.26
이연제약,-13.45,-8.07
이상네트웍스,12.00,7.20
나노캠텍,-47.02,-28.21
베노티앤알,-33.44,-20.06
티비에이치글로벌,2.50,1.50
우리넷,3.67,2.20
씨앤지하이테크,13.64,8.19
원익QnC,0.17,0.10
지유온,-29.26,-17.56
유니셈,3.68,2.21
KC그린홀딩스,-35.79,-21.47
동인기연,7.22,4.33
메리츠화재해상보험,28.81,17.29
아모그린텍,7.27,4.36
싸이버원,-2.67,-1.60
아이패밀리에스씨,20.91,12.54
펨트론,-14.78,-8.87
삼성공조,2.46,1.47
상신전자,3.29,1.97
컨텍,-5.81,-3.49
브레인즈컴퍼니,8.42,5.05
비보존 제약,-44.62,-26.77
세경하이테크,20.37,12.22
아우딘퓨쳐스,-19.80,-11.88
플리토,37.47,22.48
NAVER,6.28,3.77
시스웍,22.11,13.27
티피씨글로벌,-0.40,-0.24
유니테크노,-2.34,-1.41
범양건영,125.96,75.58
오로라,11.82,7.09
아이크래프트,21.69,13.01
그린플러스,-34.81,-20.88
에스피시스템스,-8.15,-4.89
이노뎁,-8.73,-5.24
BNK금융지주,7.44,4.46
한샘,11.58,6.95
새로닉스,-34.04,-20.43
사조씨푸드,-13.61,-8.17
삼성화재해상보험,9.49,5.69
원익IPS,8.66,5.20
삼진,3.52,2.11
큐로홀딩스,-44.17,-26.50
푸드웰,10.33,6.20
샤페론,-62.75,-37.65
나노팀,2.04,1.22
미원상사,10.45,6.27
예스24,-6.23,-3.74
테크윙,4.24,2.54
에스케이바이오팜,30.65,18.39
LB인베스트먼트,9.79,5.88
에스제이엠홀딩스,4.60,2.76
에스에프씨,-10.15,-6.09
후성,1.81,1.08
KB손해보험,13.60,8.16
케이웨더,-15.09,-9.05
노드메이슨,-183.37,-110.02
엑스페릭스,-22.73,-13.64
피엔티,9.96,5.97
KG이니시스,7.62,4.57
가온전선,10.62,6.37
디케이티,11.43,6.86
소마젠,-16.22,-9.73
흥아해운,11.67,7.00
LS머트리얼즈,-0.49,-0.29
뷰티스킨,-6.59,-3.95
브이티,25.35,15.21
이루온,3.15,1.89
하이록코리아,11.06,6.63
롯데렌탈,8.14,4.89
BGF에코머티리얼즈,2.01,1.20
모아데이타,-101.88,-61.13
덕우전자,5.95,3.57
광전자,1.75,1.05
기가비스,7.32,4.39
비덴트,1.34,0.81
저스템,6.58,3.95
티엘비,15.04,9.02
비트컴퓨터,9.93,5.96
현대글로비스,16.70,10.02
현대퓨처넷,0.87,0.52
쏠리드,10.31,6.19
피에스케이홀딩스,18.11,10.86
메쎄이상,19.45,11.67
현대백화점,2.24,1.35
신라교역,0.88,0.53
뉴로메카,-158.27,-94.96
버킷스튜디오,-23.33,-14.00
비에이치,5.14,3.08
금양,-14.99,-8.99
대성홀딩스,3.64,2.18
마이크로컨텍솔,20.84,12.51
영원무역홀딩스,11.47,6.88
HD현대에너지솔루션,9.98,5.99
오킨스전자,15.36,9.21
현대공업,7.31,4.39
현대그린푸드,12.03,7.22
세아베스틸지주,2.87,1.72
아주IB투자,3.12,1.87
CMG제약,-5.00,-3.00
명신산업,8.89,5.33
평화산업,25.28,15.17
이크레더블,30.15,18.09
케이탑리츠,6.13,3.68
윈하이텍,-9.23,-5.54
대림제지,2.26,1.36
뷰노,-16.00,-9.60
영원무역,10.38,6.23
서플러스글로벌,-8.11,-4.87
아이센스,-1.98,-1.19
에코프로에이치엔,4.34,2.60
리드코프,2.55,1.53
아이엠티,3.17,1.90
디앤디플랫폼리츠,0.82,0.49
영보화학,8.80,5.28
파라텍,-27.40,-16.44
아셈스,12.15,7.29
위드텍,5.09,3.06
금양그린파워,0.02,0.01
삼보산업,-11.54,-6.92
동우팜투테이블,11.78,7.07
와이엠,4.75,2.85
현대힘스,8.46,5.08
신영와코루,1.61,0.97
노바텍,10.84,6.51
우리손에프앤지,6.81,4.09
포시에스,6.05,3.63
모베이스,4.57,2.74
대명에너지,8.59,5.15
CJ프레시웨이,11.01,6.60
마스턴프리미어리츠,1.96,1.18
휴럼,2.07,1.24
녹원씨엔아이,7.98,4.79
메타랩스,-8.72,-5.23
오스템임플란트,-2.75,-1.65
